Stellar Models, Z=0.004, Girardi et al. 2000 + Padova 1994 + MLR (Va & Wo, 1993)
 
  42   84
 
  120.00 ML
 
 1 5.0000000e+03 120.0000 6.207 4.720 0.756000 0.240000 0.000989 0.000248 0.002110 -5.702
 2 8.3056734e+04 119.8584 6.211 4.727 0.756000 0.240000 0.000989 0.000248 0.002110 -5.722
 3 1.8367722e+05 119.6758 6.216 4.731 0.756000 0.240000 0.000989 0.000248 0.002110 -5.729
 4 3.0576925e+05 119.4525 6.223 4.733 0.756000 0.240000 0.000989 0.000248 0.002110 -5.736
 5 4.5363234e+05 119.1859 6.231 4.732 0.756000 0.240000 0.000989 0.000248 0.002110 -5.753
 6 6.1951150e+05 118.8776 6.241 4.728 0.756000 0.240000 0.000989 0.000249 0.002110 -5.757
 7 7.8991356e+05 118.5295 6.250 4.722 0.756000 0.240000 0.000989 0.000249 0.002110 -5.708
 8 9.5207538e+05 118.1356 6.259 4.716 0.756000 0.240000 0.000989 0.000247 0.002110 -5.564
 9 1.1007680e+06 117.5946 6.268 4.710 0.756000 0.240000 0.000990 0.000245 0.002111 -5.330
10 1.2377985e+06 116.6992 6.274 4.703 0.756000 0.240000 0.000990 0.000245 0.002111 -5.065
11 1.3642234e+06 115.2063 6.279 4.695 0.756000 0.240000 0.000988 0.000250 0.002109 -4.826
12 1.4804946e+06 112.9723 6.281 4.686 0.756000 0.240000 0.000984 0.000260 0.002105 -4.644
13 1.5868914e+06 110.0887 6.281 4.675 0.756000 0.240000 0.000977 0.000275 0.002098 -4.504
14 2.2795130e+06  88.2460 6.288 4.685 0.526433 0.469596 0.000059 0.003139 0.000044 -4.552
15 2.7298400e+06  73.9500 6.302 4.688 0.344000 0.652000 0.000062 0.003120 0.000057 -4.439
16 2.8340015e+06  70.2551 6.307 4.693 0.291832 0.704795 0.000063 0.003120 0.000056 -4.453
17 2.9572200e+06  66.1000 6.317 4.708 0.234000 0.762000 0.000064 0.003120 0.000054 -4.534
18 2.9791245e+06  65.6364 6.327 4.743 0.226832 0.769769 0.000064 0.003120 0.000054 -5.072
19 2.9823600e+06  65.5800 6.360 4.839 0.226000 0.770000 0.000064 0.003120 0.000054 -4.739
20 2.9837685e+06  65.5713 6.372 4.786 0.233462 0.762541 0.000063 0.003121 0.000055 -4.651
21 2.9847515e+06  65.5129 6.393 4.729 0.196034 0.799961 0.000067 0.003119 0.000053 -4.271
22 2.9857122e+06  65.4014 6.423 4.674 0.126218 0.869770 0.000076 0.003113 0.000048 -3.682
23 2.9862560e+06  65.2687 6.436 4.619 0.095321 0.900737 0.000082 0.003104 0.000046 -3.370
24 2.9867800e+06  65.0000 6.435 4.565 0.096200 0.900000 0.000084 0.003100 0.000046 -3.338
25 2.9879075e+06  64.4742 6.433 4.511 0.084959 0.911368 0.000080 0.003106 0.000045 -3.340
26 2.9889090e+06  64.0237 6.432 4.458 0.074316 0.921912 0.000078 0.003111 0.000044 -3.338
27 2.9894205e+06  63.7923 6.433 4.405 0.075111 0.920834 0.000079 0.003110 0.000044 -3.338
28 2.9900940e+06  63.4826 6.433 4.354 0.076192 0.919782 0.000080 0.003110 0.000045 -3.338
29 2.9910500e+06  63.0400 6.432 4.305 0.075400 0.921000 0.000080 0.003110 0.000045 -3.338
30 2.9919990e+06  62.6020 6.429 4.305 0.075140 0.921200 0.000080 0.003110 0.000044 -3.338
31 2.9929480e+06  62.1640 6.427 4.304 0.074880 0.921400 0.000079 0.003110 0.000044 -3.338
32 2.9938970e+06  61.7260 6.424 4.304 0.074620 0.921600 0.000079 0.003110 0.000044 -3.338
33 2.9948460e+06  61.2880 6.422 4.304 0.074360 0.921800 0.000078 0.003110 0.000044 -3.338
34 2.9957950e+06  60.8500 6.419 4.304 0.074100 0.922000 0.000078 0.003110 0.000044 -3.338
35 2.9967440e+06  60.4120 6.416 4.303 0.073840 0.922200 0.000078 0.003110 0.000044 -3.338
36 2.9976930e+06  59.9740 6.414 4.303 0.073580 0.922400 0.000077 0.003110 0.000044 -3.338
37 2.9986420e+06  59.5360 6.411 4.303 0.073320 0.922600 0.000077 0.003110 0.000044 -3.338
38 2.9995910e+06  59.0980 6.409 4.302 0.073060 0.922800 0.000076 0.003110 0.000044 -3.338
39 3.0005400e+06  58.6600 6.406 4.302 0.072800 0.923000 0.000076 0.003110 0.000044 -3.338
40 3.0021290e+06  57.9340 6.401 4.307 0.070340 0.925500 0.000076 0.003110 0.000044 -3.338
41 3.0037180e+06  57.2080 6.395 4.312 0.067880 0.928000 0.000076 0.003110 0.000044 -3.338
42 3.0053070e+06  56.4820 6.390 4.317 0.065420 0.930500 0.000077 0.003110 0.000044 -3.338
43 3.0068960e+06  55.7560 6.384 4.322 0.062960 0.933000 0.000077 0.003110 0.000043 -3.338
44 3.0084850e+06  55.0300 6.379 4.327 0.060500 0.935500 0.000077 0.003110 0.000043 -3.338
45 3.0100740e+06  54.3040 6.374 4.332 0.058040 0.938000 0.000077 0.003110 0.000043 -3.338
46 3.0116630e+06  53.5780 6.368 4.337 0.055580 0.940500 0.000077 0.003110 0.000043 -3.338
